folder_name,image_name,change,reason,copied_image_path
21,b256_conv1_affine_97_comparison.png,No,no change,selected_images_task1/21_b256_conv1_affine_97_comparison.png
35,b64_conv1_affine_327_comparison.png,No,no change,selected_images_task1/35_b64_conv1_affine_327_comparison.png
56,b256_conv1_affine_97_comparison.png,No,no change,selected_images_task1/56_b256_conv1_affine_97_comparison.png
12,b256_conv1_affine_97_comparison.png,No,no change,selected_images_task1/12_b256_conv1_affine_97_comparison.png
7,b256_conv1_affine_97_comparison.png,No,no change,selected_images_task1/7_b256_conv1_affine_97_comparison.png
34,b8_conv1_affine_120_comparison.png,Yes,added,selected_images_task1/34_b8_conv1_affine_120_comparison.png
1,b8_conv1_affine_228_comparison.png,Yes,added,selected_images_task1/1_b8_conv1_affine_228_comparison.png
20,b256_conv1_affine_97_comparison.png,No,no change,selected_images_task1/20_b256_conv1_affine_97_comparison.png
30,b16_conv1_affine_110_comparison.png,No,no change,selected_images_task1/30_b16_conv1_affine_110_comparison.png
6,b32_conv1_affine_49_comparison.png,No,no change,selected_images_task1/6_b32_conv1_affine_49_comparison.png
57,b8_conv1_affine_120_comparison.png,Yes,added,selected_images_task1/57_b8_conv1_affine_120_comparison.png
4,b8_conv0_affine_97_comparison.png,Yes,added,selected_images_task1/4_b8_conv0_affine_97_comparison.png
0,b256_conv1_affine_97_comparison.png,No,no change,selected_images_task1/0_b256_conv1_affine_97_comparison.png
45,b256_conv1_affine_97_comparison.png,No,no change,selected_images_task1/45_b256_conv1_affine_97_comparison.png
27,b8_conv1_affine_398_comparison.png,Yes,added,selected_images_task1/27_b8_conv1_affine_398_comparison.png
25,b256_conv1_affine_97_comparison.png,No,no change,selected_images_task1/25_b256_conv1_affine_97_comparison.png
3,b8_conv1_affine_335_comparison.png,Yes,added,selected_images_task1/3_b8_conv1_affine_335_comparison.png
41,b8_conv1_affine_218_comparison.png,Yes,removed,selected_images_task1/41_b8_conv1_affine_218_comparison.png
51,b128_conv0_affine_208_comparison.png,No,no change,selected_images_task1/51_b128_conv0_affine_208_comparison.png
55,b256_conv1_affine_97_comparison.png,No,no change,selected_images_task1/55_b256_conv1_affine_97_comparison.png
17,b128_conv1_affine_20_comparison.png,No,no change,selected_images_task1/17_b128_conv1_affine_20_comparison.png
2,b32_conv0_affine_6_comparison.png,No,no change,selected_images_task1/2_b32_conv0_affine_6_comparison.png
28,b64_conv1_affine_30_comparison.png,No,no change,selected_images_task1/28_b64_conv1_affine_30_comparison.png
13,b32_conv0_affine_94_comparison.png,No,no change,selected_images_task1/13_b32_conv0_affine_94_comparison.png
47,b32_conv1_affine_204_comparison.png,No,no change,selected_images_task1/47_b32_conv1_affine_204_comparison.png
32,b256_conv1_affine_97_comparison.png,No,no change,selected_images_task1/32_b256_conv1_affine_97_comparison.png
15,b32_conv1_affine_381_comparison.png,No,no change,selected_images_task1/15_b32_conv1_affine_381_comparison.png
36,b8_conv1_affine_16_comparison.png,Yes,added,selected_images_task1/36_b8_conv1_affine_16_comparison.png
43,b256_conv1_affine_27_comparison.png,No,no change,selected_images_task1/43_b256_conv1_affine_27_comparison.png
54,b64_conv1_affine_327_comparison.png,No,no change,selected_images_task1/54_b64_conv1_affine_327_comparison.png
